Country,Region,Type (Oil/Gas),Production Source,Segment (Up/Down),Abatement Technology,Abatement Potential,Abatement Cost
Peru,Central and South America,Oil,Offshore oil,Upstream,Vapour recovery units,0.16,-5.31
Peru,Central and South America,Oil,Onshore conventional oil,Upstream,Vapour recovery units,2.01,-5.31
Colombia,Central and South America,Oil,Onshore conventional oil,Upstream,Vapour recovery units,11.82,-5.27
Venezuela,Central and South America,Oil,Offshore oil,Upstream,Vapour recovery units,59.54,-5.27
Venezuela,Central and South America,Oil,Onshore conventional oil,Upstream,Vapour recovery units,338.91,-5.27
Venezuela,Central and South America,Oil,Unconventional oil,Upstream,Vapour recovery units,101.71,-5.27
Argentina,Central and South America,Oil,Unconventional oil,Upstream,Vapour recovery units,53.33,-5.25
Argentina,Central and South America,Oil,Onshore conventional oil,Upstream,Vapour recovery units,29.89,-5.25
Argentina,Central and South America,Oil,Offshore oil,Upstream,Vapour recovery units,0.22,-5.25
Indonesia,Asia Pacific,Gas,Offshore gas,Upstream,Vapour recovery units,14.75,-5.25
China,Asia Pacific,Oil,Downstream oil,Downstream,Downstream LDAR,1.74,-5.24
China,Asia Pacific,Gas,Downstream gas,Downstream,Downstream LDAR,220.85,-5.24
Bolivia,Central and South America,Oil,Onshore conventional oil,Upstream,Vapour recovery units,1.3900000000000000,-5.21
Other,Asia Pacific,Oil,Satellite - downstream,Downstream,Downstream LDAR,1.12,-5.21
South Africa,Africa,Oil,Offshore oil,Upstream,Vapour recovery units,0.03,-5.2
South Africa,Africa,Oil,Onshore conventional oil,Upstream,Vapour recovery units,0.02,-5.2
Trinidad and Tobago,Central and South America,Gas,Offshore gas,Upstream,Replace compressor seal or rod,0.02,-5.2
Trinidad and Tobago,Central and South America,Oil,Offshore oil,Upstream,Replace compressor seal or rod,0,-5.2
Cameroon,Africa,Gas,Onshore conventional gas,Upstream,Other,0,-5.2
Congo,Africa,Gas,Onshore conventional gas,Upstream,Other,0.01,-5.2
Gabon,Africa,Gas,Onshore conventional gas,Upstream,Other,0.01,-5.2
Mozambique,Africa,Gas,Onshore conventional gas,Upstream,Other,0.1,-5.2
New Zealand,Asia Pacific,Oil,Offshore oil,Upstream,Vapour recovery units,0.17,-5.19
Peru,Central and South America,Oil,Onshore conventional oil,Upstream,Upstream LDAR,0.79,-5.17
Peru,Central and South America,Gas,Onshore conventional gas,Upstream,Upstream LDAR,5.5600000000000000,-5.17
Trinidad and Tobago,Central and South America,Gas,Onshore conventional gas,Upstream,Upstream LDAR,0.57,-5.17
Colombia,Central and South America,Gas,Onshore conventional gas,Upstream,Upstream LDAR,6.07,-5.17
Colombia,Central and South America,Oil,Onshore conventional oil,Upstream,Upstream LDAR,6.61,-5.17
Ecuador,Central and South America,Oil,Onshore conventional oil,Upstream,Upstream LDAR,6.38,-5.17
Ecuador,Central and South America,Gas,Onshore conventional gas,Upstream,Upstream LDAR,0.04,-5.17
Cuba,Central and South America,Oil,Onshore conventional oil,Upstream,Upstream LDAR,0.21,-5.17
Cuba,Central and South America,Gas,Onshore conventional gas,Upstream,Upstream LDAR,0.45,-5.17
Bolivia,Central and South America,Oil,Onshore conventional oil,Upstream,Upstream LDAR,0.57,-5.17
Bolivia,Central and South America,Gas,Onshore conventional gas,Upstream,Upstream LDAR,10.42,-5.17
Argentina,Central and South America,Oil,Onshore conventional oil,Upstream,Upstream LDAR,6.8,-5.17
Argentina,Central and South America,Oil,Unconventional oil,Upstream,Upstream LDAR,7.34,-5.17
Argentina,Central and South America,Gas,Onshore conventional gas,Upstream,Upstream LDAR,9.89,-5.17
Argentina,Central and South America,Gas,Unconventional gas,Upstream,Upstream LDAR,41.92,-5.17
Venezuela,Central and South America,Oil,Onshore conventional oil,Upstream,Upstream LDAR,45.33,-5.17
Venezuela,Central and South America,Gas,Onshore conventional gas,Upstream,Upstream LDAR,17.62,-5.17
Trinidad and Tobago,Central and South America,Oil,Onshore conventional oil,Upstream,Upstream LDAR,0.37,-5.17
Korea,Asia Pacific,Gas,Onshore conventional gas,Upstream,Replace with electric motor,0.02,-5.15
Korea,Asia Pacific,Gas,Unconventional gas,Upstream,Replace with electric motor,0.02,-5.15
India,Asia Pacific,Gas,Onshore conventional gas,Upstream,Replace with instrument air systems,4.2,-5.15
India,Asia Pacific,Gas,Unconventional gas,Upstream,Replace with instrument air systems,2.01,-5.15
Ukraine,Europe,Oil,Onshore conventional oil,Upstream,Replace pumps,0.21,-5.15
India,Asia Pacific,Oil,Onshore conventional oil,Upstream,Replace with instrument air systems,35.41,-5.14
Poland,Europe,Gas,Onshore conventional gas,Upstream,Upstream LDAR,0.68,-5.14
Poland,Europe,Oil,Onshore conventional oil,Upstream,Upstream LDAR,0.04,-5.14
Poland,Europe,Gas,Unconventional gas,Upstream,Upstream LDAR,0.14,-5.14
South Africa,Africa,Oil,Onshore conventional oil,Upstream,Upstream LDAR,0.56,-5.14
South Africa,Africa,Gas,Onshore conventional gas,Upstream,Upstream LDAR,0.01,-5.14
Ukraine,Europe,Oil,Onshore conventional oil,Upstream,Upstream LDAR,0.06,-5.14
Ukraine,Europe,Gas,Unconventional gas,Upstream,Upstream LDAR,0.16,-5.14
Ukraine,Europe,Gas,Onshore conventional gas,Upstream,Upstream LDAR,4.66,-5.14
Iraq,Middle East,Gas,Satellite - upstream,Upstream,Upstream LDAR,47.04,-5.13
Trinidad and Tobago,Central and South America,Oil,Offshore oil,Upstream,Vapour recovery units,5.16,-5.12
Trinidad and Tobago,Central and South America,Oil,Onshore conventional oil,Upstream,Vapour recovery units,2.86,-5.12
Russia,Russia & Caspian,Gas,Onshore conventional gas,Upstream,Replace pumps,108.28,-5.1
Russia,Russia & Caspian,Gas,Unconventional gas,Upstream,Replace pumps,3.83,-5.1
Brazil,Central and South America,Oil,Onshore conventional oil,Upstream,Upstream LDAR,1.3900000000000000,-5.1
Brazil,Central and South America,Gas,Onshore conventional gas,Upstream,Upstream LDAR,1.37,-5.1
China,Asia Pacific,Gas,Unconventional gas,Upstream,Replace with instrument air systems,60.38,-5.09
China,Asia Pacific,Oil,Onshore conventional oil,Upstream,Replace with instrument air systems,159.93,-5.09
China,Asia Pacific,Gas,Onshore conventional gas,Upstream,Replace with instrument air systems,43.67,-5.09
Algeria,Africa,Gas,Satellite - upstream,Upstream,Upstream LDAR,50.4,-5.08
United Kingdom,Europe,Oil,Offshore oil,Upstream,Vapour recovery units,6.25,-5.08
United Kingdom,Europe,Oil,Onshore conventional oil,Upstream,Vapour recovery units,0.45,-5.08
Japan,Asia Pacific,Gas,Downstream gas,Downstream,Replace with electric motor,14.02,-5.07
Iran,Middle East,Gas,Satellite - upstream,Upstream,Upstream LDAR,34.8,-5.07
Romania,Europe,Oil,Onshore conventional oil,Upstream,Vapour recovery units,1.4,-5.07
Romania,Europe,Oil,Offshore oil,Upstream,Vapour recovery units,0.2,-5.07
Other EU7 countries,Europe,Oil,Onshore conventional oil,Upstream,Vapour recovery units,0.05,-5.07
Other EU17 countries,Europe,Oil,Onshore conventional oil,Upstream,Vapour recovery units,3.75,-5.07
Other EU17 countries,Europe,Oil,Offshore oil,Upstream,Vapour recovery units,0.14,-5.07
Other countries in Europe,Europe,Gas,Onshore conventional gas,Upstream,Upstream LDAR,0.18,-5.05
Other countries in Europe,Europe,Gas,Unconventional gas,Upstream,Upstream LDAR,0.03,-5.05
Other countries in Europe,Europe,Oil,Onshore conventional oil,Upstream,Upstream LDAR,0.32,-5.05
Kazakhstan,Russia & Caspian,Gas,Onshore conventional gas,Upstream,Replace pumps,12.91,-5.02
Azerbaijan,Russia & Caspian,Gas,Onshore conventional gas,Upstream,Replace pumps,0.05,-5.02
Uzbekistan,Russia & Caspian,Gas,Onshore conventional gas,Upstream,Replace pumps,12.79,-5.02
Turkmenistan,Russia & Caspian,Gas,Onshore conventional gas,Upstream,Replace pumps,60.33,-5.02
Jordan,Middle East,Oil,Offshore oil,Upstream,Replace pumps,1.43,-5.01
Other,Asia Pacific,Oil,Onshore conventional oil,Upstream,Replace with instrument air systems,17.84,-5
Other,Asia Pacific,Gas,Onshore conventional gas,Upstream,Replace with instrument air systems,3.51,-5
Kazakhstan,Russia & Caspian,Gas,Onshore conventional gas,Upstream,Replace with instrument air systems,0.14,-4.99
Kazakhstan,Russia & Caspian,Gas,Offshore gas,Upstream,Replace with instrument air systems,3.76,-4.99
Kazakhstan,Russia & Caspian,Oil,Offshore oil,Upstream,Replace with instrument air systems,23.9,-4.99
Azerbaijan,Russia & Caspian,Gas,Offshore gas,Upstream,Replace with instrument air systems,7.02,-4.99
Benin,Africa,Oil,Offshore oil,Upstream,Replace pumps,0,-4.99
Azerbaijan,Russia & Caspian,Oil,Offshore oil,Upstream,Replace with instrument air systems,16.37,-4.99
Turkmenistan,Russia & Caspian,Gas,Offshore gas,Upstream,Replace with instrument air systems,10.66,-4.99
Turkmenistan,Russia & Caspian,Gas,Downstream gas,Downstream,Replace with instrument air systems,4.22,-4.99
Turkmenistan,Russia & Caspian,Oil,Offshore oil,Upstream,Replace with instrument air systems,33.93,-4.99
Uzbekistan,Russia & Caspian,Gas,Downstream gas,Downstream,Replace with instrument air systems,2.04,-4.99
Azerbaijan,Russia & Caspian,Oil,Onshore conventional oil,Upstream,Blowdown capture,0.04,-4.98
Brazil,Central and South America,Oil,Onshore conventional oil,Upstream,Replace pumps,4.96,-4.98
Japan,Asia Pacific,Oil,Downstream oil,Downstream,Vapour recovery units,0.26,-4.98
Japan,Asia Pacific,Oil,Onshore conventional oil,Upstream,Vapour recovery units,0.05,-4.98
Korea,Asia Pacific,Oil,Downstream oil,Downstream,Downstream LDAR,0.18,-4.98
Kazakhstan,Russia & Caspian,Oil,Onshore conventional oil,Upstream,Blowdown capture,1.32,-4.98
Korea,Asia Pacific,Gas,Downstream gas,Downstream,Downstream LDAR,28.84,-4.98
Russia,Russia & Caspian,Oil,Onshore conventional oil,Upstream,Blowdown capture,1,-4.98
Uzbekistan,Russia & Caspian,Oil,Onshore conventional oil,Upstream,Blowdown capture,0.02,-4.98
Turkmenistan,Russia & Caspian,Oil,Onshore conventional oil,Upstream,Blowdown capture,0.11,-4.98
Netherlands,Europe,Oil,Onshore conventional oil,Upstream,Vapour recovery units,0,-4.95
Netherlands,Europe,Oil,Offshore oil,Upstream,Vapour recovery units,0,-4.95
Ghana,Africa,Oil,Offshore oil,Upstream,Replace pumps,0.06,-4.9400000000000000
France,Europe,Oil,Onshore conventional oil,Upstream,Vapour recovery units,0.04,-4.92
Indonesia,Asia Pacific,Gas,Unconventional gas,Upstream,Other,0,-4.92
Indonesia,Asia Pacific,Gas,Onshore conventional gas,Upstream,Other,0.86,-4.92
Pakistan,Asia Pacific,Oil,Satellite - downstream,Downstream,Downstream LDAR,0.96,-4.92
Turkmenistan,Russia & Caspian,Oil,Satellite - downstream,Downstream,Downstream LDAR,130.08,-4.92
Indonesia,Asia Pacific,Gas,Onshore conventional gas,Upstream,Replace with instrument air systems,18.5,-4.9
Indonesia,Asia Pacific,Gas,Unconventional gas,Upstream,Replace with instrument air systems,0.01,-4.9
Korea,Asia Pacific,Gas,Offshore gas,Upstream,Replace with electric motor,1.62,-4.9
Korea,Asia Pacific,Gas,Downstream gas,Downstream,Replace with electric motor,1.6,-4.9
Indonesia,Asia Pacific,Oil,Onshore conventional oil,Upstream,Replace with instrument air systems,49.54,-4.89
Russia,Russia & Caspian,Oil,Satellite - downstream,Downstream,Downstream LDAR,107.36,-4.89
Saudi Arabia,Middle East,Gas,Satellite - upstream,Upstream,Upstream LDAR,7.52,-4.88
Philippines,Asia Pacific,Gas,Downstream gas,Downstream,Downstream LDAR,1.37,-4.88
Philippines,Asia Pacific,Oil,Downstream oil,Downstream,Downstream LDAR,0.02,-4.88
New Zealand,Asia Pacific,Gas,Offshore gas,Upstream,Upstream LDAR,0.95,-4.88
New Zealand,Asia Pacific,Oil,Offshore oil,Upstream,Upstream LDAR,0.03,-4.88
Other countries in Southeast Asia,Asia Pacific,Gas,Downstream gas,Downstream,Downstream LDAR,6.84,-4.88
Other countries in Southeast Asia,Asia Pacific,Oil,Downstream oil,Downstream,Downstream LDAR,0.11,-4.88
Thailand,Asia Pacific,Oil,Downstream oil,Downstream,Downstream LDAR,0.14,-4.88
Thailand,Asia Pacific,Gas,Downstream gas,Downstream,Downstream LDAR,29.66,-4.88
Estonia,Europe,Oil,Onshore conventional oil,Upstream,Upstream LDAR,0.04,-4.88
Malaysia,Asia Pacific,Oil,Downstream oil,Downstream,Downstream LDAR,0.03,-4.88
Malaysia,Asia Pacific,Gas,Downstream gas,Downstream,Downstream LDAR,9.6,-4.88
Brunei,Asia Pacific,Gas,Downstream gas,Downstream,Downstream LDAR,0.8,-4.88
Brunei,Asia Pacific,Oil,Downstream oil,Downstream,Downstream LDAR,0,-4.88
Australia,Asia Pacific,Oil,Downstream oil,Downstream,Replace with electric motor,0.23,-4.88
Vietnam,Asia Pacific,Gas,Downstream gas,Downstream,Downstream LDAR,3.38,-4.88
Vietnam,Asia Pacific,Oil,Downstream oil,Downstream,Downstream LDAR,0.03,-4.88
India,Asia Pacific,Gas,Offshore gas,Upstream,Upstream LDAR,4.36,-4.85
India,Asia Pacific,Oil,Offshore oil,Upstream,Upstream LDAR,1.27,-4.85
Poland,Europe,Oil,Offshore oil,Upstream,Vapour recovery units,0.26,-4.85
Other,Asia Pacific,Oil,Offshore oil,Upstream,Upstream LDAR,0,-4.84
Other,Asia Pacific,Gas,Offshore gas,Upstream,Upstream LDAR,0.27,-4.84
India,Asia Pacific,Gas,Unconventional gas,Upstream,Install plunger,0.11,-4.84
Japan,Asia Pacific,Gas,Downstream gas,Downstream,Downstream LDAR,40.6,-4.84
India,Asia Pacific,Gas,Onshore conventional gas,Upstream,Install plunger,0.24,-4.84
Japan,Asia Pacific,Oil,Downstream oil,Downstream,Downstream LDAR,0.21,-4.84
Australia,Asia Pacific,Oil,Onshore conventional oil,Upstream,Upstream LDAR,1.24,-4.82
Australia,Asia Pacific,Gas,Onshore conventional gas,Upstream,Upstream LDAR,1.11,-4.82
Australia,Asia Pacific,Gas,Unconventional gas,Upstream,Upstream LDAR,16.94,-4.82
Australia,Asia Pacific,Oil,Offshore oil,Upstream,Vapour recovery units,3.2,-4.8
Russia,Russia & Caspian,Oil,Onshore conventional oil,Upstream,Replace pumps,166,-4.79
Norway,Europe,Oil,Offshore oil,Upstream,Vapour recovery units,0.17,-4.78
Norway,Europe,Oil,Onshore conventional oil,Upstream,Vapour recovery units,0.01,-4.78
Japan,Asia Pacific,Oil,Offshore oil,Upstream,Upstream LDAR,0,-4.78
Japan,Asia Pacific,Gas,Offshore gas,Upstream,Upstream LDAR,0.02,-4.78
Bangladesh,Asia Pacific,Gas,Onshore conventional gas,Upstream,Replace with instrument air systems,16.1,-4.77
Pakistan,Asia Pacific,Gas,Onshore conventional gas,Upstream,Replace with instrument air systems,33.7,-4.77
Pakistan,Asia Pacific,Gas,Unconventional gas,Upstream,Replace with instrument air systems,1.26,-4.77
Pakistan,Asia Pacific,Gas,Onshore conventional gas,Upstream,Other,1.5700000000000000,-4.76
Pakistan,Asia Pacific,Gas,Unconventional gas,Upstream,Other,0.06,-4.76
Pakistan,Asia Pacific,Oil,Onshore conventional oil,Upstream,Replace with instrument air systems,13.07,-4.76
Bangladesh,Asia Pacific,Gas,Onshore conventional gas,Upstream,Other,0.75,-4.76
Bangladesh,Asia Pacific,Oil,Onshore conventional oil,Upstream,Replace with instrument air systems,0.46,-4.76
China,Asia Pacific,Gas,Onshore conventional gas,Upstream,Install plunger,2.48,-4.75
China,Asia Pacific,Gas,Unconventional gas,Upstream,Install plunger,3.42,-4.75
Denmark,Europe,Oil,Offshore oil,Upstream,Vapour recovery units,0.79,-4.74
Brazil,Central and South America,Oil,Offshore oil,Upstream,Vapour recovery units,184.68,-4.72
Kuwait,Middle East,Gas,Satellite - upstream,Upstream,Upstream LDAR,4.96,-4.72
Cuba,Central and South America,Oil,Offshore oil,Upstream,Vapour recovery units,0.43,-4.68
Other,Asia Pacific,Oil,Downstream oil,Downstream,Downstream LDAR,0.44,-4.66
Other,Asia Pacific,Gas,Downstream gas,Downstream,Downstream LDAR,54.82,-4.66
Ukraine,Europe,Gas,Offshore gas,Upstream,Vapour recovery units,0.45,-4.65
Oman,Middle East,Oil,Offshore oil,Upstream,Replace with instrument air systems,0.56,-4.62
Oman,Middle East,Gas,Offshore gas,Upstream,Replace with instrument air systems,0.04,-4.62
Oman,Middle East,Gas,Downstream gas,Downstream,Replace with instrument air systems,0.6,-4.62
Qatar,Middle East,Gas,Downstream gas,Downstream,Replace with instrument air systems,0.76,-4.62
Qatar,Middle East,Gas,Offshore gas,Upstream,Replace with instrument air systems,49.83,-4.62
Qatar,Middle East,Oil,Offshore oil,Upstream,Replace with instrument air systems,11.54,-4.62
Saudi Arabia,Middle East,Gas,Downstream gas,Downstream,Replace with instrument air systems,1.6600000000000000,-4.62
Saudi Arabia,Middle East,Gas,Offshore gas,Upstream,Replace with instrument air systems,9.13,-4.62
Saudi Arabia,Middle East,Oil,Offshore oil,Upstream,Replace with instrument air systems,97.14,-4.62
Syria,Middle East,Gas,Downstream gas,Downstream,Replace with instrument air systems,0.19,-4.62
Bahrain,Middle East,Gas,Downstream gas,Downstream,Replace with instrument air systems,0.29,-4.62
Kuwait,Middle East,Oil,Offshore oil,Upstream,Replace with instrument air systems,2.67,-4.62
Kuwait,Middle East,Gas,Downstream gas,Downstream,Replace with instrument air systems,0.52,-4.62
Jordan,Middle East,Gas,Downstream gas,Downstream,Replace with instrument air systems,0.33,-4.62
Italy,Europe,Oil,Onshore conventional oil,Upstream,Upstream LDAR,0.48,-4.62
Italy,Europe,Gas,Onshore conventional gas,Upstream,Upstream LDAR,0.59,-4.62
Iraq,Middle East,Gas,Onshore conventional gas,Upstream,Replace with instrument air systems,0.02,-4.62
Iran,Middle East,Oil,Offshore oil,Upstream,Replace with instrument air systems,22.26,-4.62
Iran,Middle East,Gas,Onshore conventional gas,Upstream,Replace with instrument air systems,0.18,-4.62
Iran,Middle East,Gas,Offshore gas,Upstream,Replace with instrument air systems,80.16,-4.62
United Kingdom,Europe,Gas,Unconventional gas,Upstream,Upstream LDAR,0.01,-4.62
United Kingdom,Europe,Gas,Onshore conventional gas,Upstream,Upstream LDAR,0.01,-4.62
United Arab Emirates,Middle East,Oil,Offshore oil,Upstream,Replace with instrument air systems,50.89,-4.62
United Arab Emirates,Middle East,Gas,Downstream gas,Downstream,Replace with instrument air systems,1.1400000000000000,-4.62
United Arab Emirates,Middle East,Gas,Offshore gas,Upstream,Replace with instrument air systems,5.44,-4.62
Yemen,Middle East,Gas,Downstream gas,Downstream,Replace with instrument air systems,0.02,-4.62
United Kingdom,Europe,Oil,Onshore conventional oil,Upstream,Upstream LDAR,0.21,-4.62
Iran,Middle East,Oil,Onshore conventional oil,Upstream,Blowdown capture,2.19,-4.61
Iraq,Middle East,Oil,Onshore conventional oil,Upstream,Blowdown capture,1.7,-4.61
Jordan,Middle East,Gas,Offshore gas,Upstream,Blowdown capture,0,-4.61
Jordan,Middle East,Oil,Offshore oil,Upstream,Blowdown capture,0,-4.61
Jordan,Middle East,Oil,Onshore conventional oil,Upstream,Blowdown capture,0,-4.61
Jordan,Middle East,Oil,Unconventional oil,Upstream,Blowdown capture,0,-4.61
Korea,Asia Pacific,Gas,Onshore conventional gas,Upstream,Upstream LDAR,0,-4.61
Kuwait,Middle East,Oil,Onshore conventional oil,Upstream,Blowdown capture,0.24,-4.61
Bahrain,Middle East,Oil,Onshore conventional oil,Upstream,Blowdown capture,0.02,-4.61
Syria,Middle East,Oil,Onshore conventional oil,Upstream,Blowdown capture,0.03,-4.61
Saudi Arabia,Middle East,Oil,Onshore conventional oil,Upstream,Blowdown capture,0.47,-4.61
Romania,Europe,Oil,Onshore conventional oil,Upstream,Upstream LDAR,1.3900000000000000,-4.61
Slovenia,Europe,Gas,Onshore conventional gas,Upstream,Upstream LDAR,0,-4.61
Slovenia,Europe,Gas,Unconventional gas,Upstream,Upstream LDAR,0,-4.61
Qatar,Middle East,Oil,Onshore conventional oil,Upstream,Blowdown capture,0.08,-4.61
Romania,Europe,Gas,Unconventional gas,Upstream,Upstream LDAR,0,-4.61
Romania,Europe,Gas,Onshore conventional gas,Upstream,Upstream LDAR,11.21,-4.61
Oman,Middle East,Oil,Onshore conventional oil,Upstream,Blowdown capture,0.12,-4.61
Other EU7 countries,Europe,Gas,Onshore conventional gas,Upstream,Upstream LDAR,0.3,-4.61
Other EU7 countries,Europe,Oil,Onshore conventional oil,Upstream,Upstream LDAR,0.1,-4.61
Other EU17 countries,Europe,Oil,Onshore conventional oil,Upstream,Upstream LDAR,0.39,-4.61
Other EU17 countries,Europe,Gas,Unconventional gas,Upstream,Upstream LDAR,0.09,-4.61
Other EU17 countries,Europe,Gas,Onshore conventional gas,Upstream,Upstream LDAR,1.52,-4.61
Yemen,Middle East,Oil,Onshore conventional oil,Upstream,Blowdown capture,0.03,-4.61
United Arab Emirates,Middle East,Oil,Onshore conventional oil,Upstream,Blowdown capture,0.16,-4.61
New Zealand,Asia Pacific,Gas,Offshore gas,Upstream,Vapour recovery units,0.56,-4.6
India,Asia Pacific,Gas,Unconventional gas,Upstream,Other,0.09,-4.6
